timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-29 14:40:17,"$109,853.89",$2.19T,$64.23B,19.94M BTC,4.24% (24h),82%,18%
2025-10-29 14:57:39,"$111,038.12",$2.21T,$68.11B,19.94M BTC,3.36% (24h),82%,18%
2025-10-29 15:21:12,"$111,102.08",$2.21T,$69.33B,19.94M BTC,2.42% (24h),82%,18%
2025-10-29 15:33:01,"$110,845.86",$2.21T,$68.84B,19.94M BTC,2.57% (24h),82%,18%
2025-10-29 15:45:07,"$110,403.84",$2.2T,$68.05B,19.94M BTC,3.12% (24h),82%,18%
2025-10-29 16:00:07,"$110,716.08",$2.2T,$68.02B,19.94M BTC,2.59% (24h),82%,18%
2025-10-29 16:31:05,"$111,351.69",$2.22T,$67.07B,19.94M BTC,1.06% (24h),82%,18%
2025-10-29 16:47:27,"$111,274.97",$2.21T,$65.43B,19.94M BTC,1.23% (24h),82%,18%
2025-10-29 16:59:53,"$111,461.74",$2.22T,$64.32B,19.94M BTC,1.24% (24h),82%,18%
2025-10-29 17:26:46,"$111,553.17",$2.22T,$64B,19.94M BTC,0.94% (24h),82%,18%
2025-10-29 17:41:14,"$111,711.25",$2.22T,$63.4B,19.94M BTC,1.11% (24h),82%,18%
2025-10-29 17:53:09,"$111,677.23",$2.22T,$63.02B,19.94M BTC,1.24% (24h),82%,18%
2025-10-29 18:22:47,"$111,413.21",$2.22T,$62.89B,19.94M BTC,1.43% (24h),82%,18%
2025-10-29 18:44:38,"$111,218.76",$2.21T,$63.22B,19.94M BTC,1.82% (24h),82%,18%
